transaction_amount,transaction_card_type,transaction_ecommerce_website_name,transaction_country_name,transaction_datetime,transaction_id,transaction_city_name,transaction_product_name
515.5,Visa,www.amazon.com,Singapore,18-05-2019 13:12,1001,Singapore,Desktop Computer
252.9,MasterCard,www.snapdeal.com,Italy,18-05-2019 00:12,1002,Rome,TV Stand
260.91,Visa,www.flipkart.com,India,18-05-2019 15:58,1003,Kolkata,Wrist Watch
117.89,MasterCard,www.ebay.com,United Kingdom,18-05-2019 04:23,1004,London,Desktop Computer
379.68,Maestro,www.amazon.com,India,18-05-2019 00:02,1005,Pune,Desktop Computer
280.85,Maestro,www.amazon.com,India,18-05-2019 11:36,1006,Hyderabad,Text Books
137.31,Maestro,www.snapdeal.com,India,18-05-2019 10:58,1007,Chennai,Mobile Phone
550.01,MasterCard,www.ebay.com,Israel,18-05-2019 09:14,1008,Jerusalem,TV Stand
538.96,Maestro,www.snapdeal.com,India,18-05-2019 11:58,1009,Pune,Text Books
21.88,MasterCard,www.ebay.com,Singapore,18-05-2019 08:52,1010,Singapore,Mobile Phone
23.34,MasterCard,www.flipkart.com,India,18-05-2019 14:03,1011,Mumbai,Text Books
235.08,MasterCard,www.flipkart.com,India,18-05-2019 12:59,1012,Chennai,Desktop Computer
225.03,Maestro,www.ebay.com,India,18-05-2019 04:30,1013,Kolkata,TV Stand
227.23,MasterCard,www.flipkart.com,India,18-05-2019 06:09,1014,Hyderabad,TV Stand
245.84,MasterCard,www.ebay.com,United Kingdom,18-05-2019 12:19,1015,London,LAN Cable
367.18,MasterCard,www.amazon.com,Italy,18-05-2019 11:59,1016,Rome,LAN Cable
283.37,MasterCard,www.amazon.com,Inida,18-05-2019 15:59,1017,New Delhi,TV Stand
155.16,Maestro,www.amazon.com,India,18-05-2019 16:51,1018,Bangalore,Wrist Band
524.28,Maestro,www.flipkart.com,Thailand,18-05-2019 14:02,1019,Bangkok,External Hard Drive
241.72,Visa,www.flipkart.com,Italy,18-05-2019 11:13,1020,Rome,Mobile Phone
251.94,Visa,www.amazon.com,India,18-05-2019 00:33,1021,Kolkata,Laptop
29.76,Maestro,www.amazon.com,India,18-05-2019 10:19,1022,Bangalore,Wrist Band
444.85,Visa,www.snapdeal.com,India,18-05-2019 19:23,1023,Mumbai,Mobile Phone
26.31,Visa,www.flipkart.com,India,18-05-2019 15:49,1024,Pune,Desktop Computer
517.45,Visa,www.ebay.com,United States,18-05-2019 13:07,1025,New York City,Text Books
254.64,MasterCard,www.amazon.com,India,18-05-2019 22:34,1026,Pune,Text Books
323.06,Maestro,www.flipkart.com,India,18-05-2019 09:18,1027,Kolkata,Text Books
241.25,MasterCard,www.flipkart.com,Italy,18-05-2019 20:19,1028,Rome,Laptop
68.92,Visa,www.flipkart.com,United States,18-05-2019 15:14,1029,New York City,Desktop Computer
335.73,Maestro,www.amazon.com,India,18-05-2019 13:02,1030,Kolkata,Mobile Phone
363.16,MasterCard,www.amazon.com,Italy,18-05-2019 03:13,1031,Rome,LAN Cable
95.44,MasterCard,www.ebay.com,United States,18-05-2019 07:09,1032,New York City,HDMI Cable
511.09,MasterCard,www.snapdeal.com,India,18-05-2019 13:23,1033,Chennai,Mobile Phone
404.77,MasterCard,www.snapdeal.com,France,18-05-2019 21:15,1034,Paris,Pen Drive
164.1,Maestro,www.amazon.com,India,18-05-2019 13:25,1035,Kolkata,LAN Cable
236.15,MasterCard,www.snapdeal.com,India,18-05-2019 16:36,1036,Chennai,Wrist Watch
146.61,Visa,www.amazon.com,Thailand,18-05-2019 01:14,1037,Bangkok,Desktop Computer
349.95,MasterCard,www.ebay.com,Italy,18-05-2019 00:27,1038,Rome,LAN Cable
240.19,MasterCard,www.ebay.com,India,18-05-2019 11:57,1039,Bangalore,Pen Drive
279.29,Visa,www.flipkart.com,India,18-05-2019 15:09,1040,Chennai,Pen Drive
496.9,Visa,www.flipkart.com,Singapore,18-05-2019 17:49,1041,Singapore,HDMI Cable
